dialogue,labels
"AAAAAAACCCCCKKKK! Not cool, everyone! I'm, like really furious with you right now!",peppy
"NOOOOOOOOOOO!! Super OWIE-OW! What's going on in this town? It's, like, the pits!",peppy
WAAAAAAAAAAAAAA! Who in the WORLD dug a pitfall right here where I was walking?!,peppy
"OUCH! Why are you doing that? Cut it out already, [catchphrase]!",peppy
"Hey! You SO clearly don't want to be good friends with me. You'd better stop that, [catchphrase]!",peppy
"THAT HURTS! Why would you keep smacking me like that, [catchphrase]?",peppy
"That's so irritating! Why not throw [food] at the back of my head, [catchphrase]?",peppy
"Now just hold on! What's gotten into you? You DO know that makes me like you a LOT less, right?!",peppy
Oh boy... It is SO not like me to be all blue. Why can't I just be happy again?,peppy
"Sigh... I'm having, like, the worst day ever. Being sad makes me so...SAD!",peppy
"Sniff... Sorry, [player], but I think I need to be alone right now. I'm, like, sad.",peppy
"I think we need to take a break, [player]. Why don't you just leave me alone for a while, OK?",peppy
"Look, I don't want to hear it! You need to just step away from this situation, [catchphrase]!",peppy
"My feelings are, like, super hurt right now! You shouldn't treat me like that, [catchphrase]!",peppy
"ARGH!!! I am so...GRRR! Seriously, you should stay away from me today. I'm in a MOOD!",peppy
"I am in the WORST MOOD EVER! If you know what's good for you, you'll walk away now, [player]!",peppy
"AHHH!!! I'm usually good at keeping my cool, but that is SO not gonna happen right now! I am MAD!!!",peppy
"Oh bums! I was trying to remember something, but it's gone. Like, poof! There goes my thought! Sorry, but I need to concentrate for a while and try to re-remember that thing I was trying to remember!",peppy
"Um...I know you want to chat and all, but I need to use my brain power to concentrate right now!",peppy
"Can we chat later? I want to make sure I have something clever to say, but that's not going to happen now!",peppy
"I bet you weren't expecting to see super-stylish ME here! Actually, I wasn't expecting to be here either. But I'm SO glad I came. I took a bite of a famous [town] [fruit], and it was amazing!",peppy
"I've got stars in my eyes! Oh, wait... Those are actually stars in the skies! Haha! Camping is the BEST!",peppy
"Camp meals are, like, SO much more delish than regular meals. Must be all this fresh air! I mean, [food] is usually pretty yummy. But when you're camping, it's SUPER YUM!",peppy
I'm so glad I decided to camp out here in the wild. I thought I'd just get dirty and stuff... But all of this fresh air is doing wonders for my complexion! It's like a free beauty treatment!,peppy
"I bet no one in town was expecting a superstar like me to come here for a camping trip! I hope I'm not causing a big fuss or anything. Go about your normal business, folks! Nothing to see!",peppy
"Eep! Feathers! Falling from the sky! Didja see 'em, [player]? This is, like, the most magical day EVER! You want some feathers too, [player]? Sure you do. They're feathers, for pete's sake! And I know how to get 'em... but I'm not gonna spill the beans. Not yet, at least! Hee hee!",peppy
"I love Festivale! It's the one day when everyone in [Town] comes together to cut a rug! Just listening to their cheers and laughter makes me feel so happy, [catchphrase]!",peppy
There must be a special Festivale guest here today -- someone who knows how to shake a tail feather!,peppy
"Ohmigosh! It sounds like everyone is having SO much Festivale fun outside, [catchphrase]! What am I doing sitting in here all cooped up? I should be outside dancing up a storm!",peppy
"Listen to that music out there! Can't you feel the rhythm in your soul, [player]? I'm the queen of this dancing scene, and don't you ever forget it!",peppy
"Sounds like everyone is having a rocking-good time outside! When I hear music, I've gotta dance!",peppy
"It just doesn't FEEL like summer until the Summer Solstice, right? But it's offically here now! Who knows what kinda crazy trends I'm going to try out this summer? Just wait and see, [catchphrase]!",peppy
"We gotta dance until the last rays go away! We won't have a day like this for another year, [catchphrase]!",peppy
"There's only one problem with the sun being up all day long-you gotta avoid getting a sunburn! Like, ouch!",peppy
"The sun probably decided to stay out all day and night 'cause it knows how bright I shine! It's totally competing with me! Well, bring it on, Mr. Sun! Let's see who sparkles more!",peppy
I wonder how long I could stay awake if the sun decided to stay up and never set? I bet I could stay awake forever! Sleep is for babies and puppies!,peppy
"It's STILL light out?! What an amazing night, right?",peppy
"Hooray for the Summer Solstice! It's like my day is twice as long today, [Player]. Sun, sun, sun!",peppy
"Keep the groove going, [Player]! The big disco ball in the sky is going to keep turning for hours yet!",peppy
Can you believe it? The new year is almost here! And I have SO much stuff left to do!,peppy
Check out that stylish hat! I'm glad I'm not the only one to get all spruced up for the countdown!,peppy
"This year has been EPIC! I'm looking totally pumped for the next year, 'cause I bet it's gonna be epic too!",peppy
Why am I so nervous about the new year? I should be excited that we all get a fresh start!,peppy
"Good morning, [player]!",normal
"Hello again! How can I help, [catchphrase]?",normal
"Hi, [player]. Need to chat about something, [catchphrase]?",normal
"Hi, [player]! Sunny mornings just make me want to dance, [catchphrase].",normal
"Hi, [player]! What's going on, [catchphrase]?",normal
"Hi, [player]! What can I do for you, [catchphrase]?",normal
"Hi there, [player]! It's nice to see so much of you today, [catchphrase].",normal
"Hello again. Doing all right, [catchphrase]?",normal
"Wow! I can't seem to bump into anyone else today, [player]!",normal
"Wow! It's already [specified time]? Time flies when you're having fun, [catchphrase]. It's true.",normal
"Yaaay, it's [player] again! The sun might have gone to sleep, but that doesn't mean we have to!",normal
"[Greeting]! It's nice to see so much of you today, [catchphrase].",normal
"[Greeting]! You've been following me around so much, you're like my shadow!",normal
"[Player]! It's been fun seeing you so many times today, [catchphrase]. So, what can I do for you?",normal
"[Player] again! What can I do for you, [catchphrase]?",normal
"[Greeting]. I hope you're enjoying this lovely weather. So, how can I help you?",normal
"OK. Catch you later, [catchphrase]!",normal
All right! Come chat anytime.,normal
"Oh, OK. Don't be a stranger!",normal
"Oh, that's right. I wanted to share something with you. Sometimes you'll find a perfect [native town fruit] mixed in with the others. They look different from normal fruit, making them easy to spot. A perfect [native town fruit] is a rare treat, so keep your eyes peeled for them, [catchphrase]!",normal
"Um, [player]. I hope this isn't presumptuous, but I think you could use [a/an] [item].",normal
"Would you be interested in buying [a/an] [item]? My asking price is [number] Bells, which I think is pretty fair.",normal
"Big events are great, but I enjoy everyday life too. It gives me the chance to unwind, [catchphrase].",normal
"I know this is out of the blue, but do you know what I'm thinking about at this very moment?",normal
"I see you're off to save the world from evil yet again! I'll be cheering for you, [catchphrase].",normal
"It's hard to tell how much of the gossip you hear is true, isn't it? Before you go repeating a rumor... it's best to look into it yourself.",normal
"Living alone can get... well, kind of lonely. So it's great to have such friendly neighbors!",normal
"When nothing else is going on, I'm usually reading or experimenting with new recipes at home. Feel free to drop by my place anytime!",normal
"I wonder what [specific villager] and [specific villager] would say about their relationship. They seem to spend a lot of time arguing with each other and then making up. That sort of thing would wear me out, [catchphrase].",normal
It's no surprise that [specific villager] and [another villager with the same personality] are really good friends. I feel like they bring out the best in each other!,normal
"The other day, [male villager] asked me to take something over to [female villager]'s house. Those two are always giving each other presents! They get along so well, don't they. To be honest, I'm a little jealous.",normal
"[Villager 1] and [Villager 2] spend a lot of time together. I wish they'd let me join them. But I suppose there would be a crowd, [catchphrase].",normal
"It's so sunny today. If it stays like this, I bet we'll be able to see a lot of stars tonight!",normal
"Mmm, weather like this calls for making [banana bread/cotton candy] later.",normal
"On a day like today, it's hard not to think of one of my favorite books: [Hide-and-Seek: A Memoir/Playing to Win the Stalk Market].",normal
Birthdays mean being one step closer to maturity. Someday I want to be mayor of my own town!,normal
"Hee hee! I just heard the best cake joke, [player]. Remind me to tell it to you on your birthday.",normal
"I hear the town's biggest ever cupcake was baked on my birthday, many years ago!",normal
"I wish every day was my birthday. Not just for the cake, but because I get to spend it with you two!",normal
This has truly been a happy birthday for me! You guys are the best friends ever.,normal
"I'm so glad you could make it today! I beg your pardon, but is that a gift for me?",normal
"It's not required or anything! But by any chance, did you...?",normal
"My birthday only happens once a year, so I'm glad my friends could make it. Oh? Do I spy a present for me?",normal
Everyone in town is excited about having extra hours of daylight!,normal
"Having a good day, [Player]? I am! More hours in the day means more time for fun, [catchphrase]!",normal
"Strange, I'm so sleepy. Wait. I guess it's not strange. It is nighttime after all, [catchphrase]!",normal
"All this extra daylight is making me very productive. I'm taking care of all kinds of business, [catchphrase]!",normal
"Oh, I see... I guess when I write to you, I'll have to write about something that will really grab your attention!",normal
"Oh! Take a look at this, [catchphrase].",normal
"Hmm, I'm looking for a little insight on interior design. I want to get something to replace my [item]. If you find something would work, could you please bring it over?",normal
"I hear the ""in"" bug this season is the [insect]. It sure is neat looking... I would love to have my own! Would you go out and catch one for me?",normal
"I've developed a recent interest in [fish] ecology, [Player]. It would be fascinating to have one at home for research purposes... Could you catch one for me?",normal
"It really hurts that you keep pushing me like that! If you need me for something, use your words! You don't have to shove me!",normal
HEY! Don't push me around like that. It hurts my feelings!,normal
"Hey! HEY, [player]! What are you doing?! I don't like being pushed around!",normal
WAH! Why'd you do that?! Don't scare me like that?!,normal
What are you doing? You don't need a megaphone to my attention!,normal
"What are you doing, [player]?! I can't condone violence, especially when it's against me!",normal
"If you need something, ask me later! I'm not in the mood to talk to anyone right now!",normal
I'm sorry. I just want to be left alone right now... [catchphrase].,normal
I don't feel like talking to you right now!,normal
"Just leave me alone already, [catchphrase]!",normal
"Ugh... I'm not in the mood to talk, [catchphrase]. Please just let me mope for a while.",normal
"What is your problem?! Leave me alone, [catchphrase]!",normal
"I've really enjoyed chatting with you. But the thing is, I need a little time to myself now... If you still want to talk later, I'll be around.",normal
"I'm sorry, but there's something else I need to concentrate on. I feel bad for brushing you off when you've been so kind, but let's talk more later.",normal
"What to do, what to do... Oh! Excuse me! I was so lost in thought, I didn't even notice you! I'd love to chat, but I just can't right now. Later, OK?",normal
Oh! Oops! Didn't see you there! I've just got something on my mind right now... I need some more time to think it over. Let's catch up later!,normal
"ACK! Y-You startled me. Sorry, I'm a little preoccupied right now. Can whatever it is wait?",normal
"Hey again, [player]. What can I help you with this time, [catchphrase]?",lazy
"Hi again, [player]. What's happening, [catchphrase]?",lazy
"Hi again, [player]! What's up now, [catchphrase]?",lazy
"Hi, [player]! What's shaking, [catchphrase]?",lazy
"Is everything OK with you, [player]? What do you want to talk about now, [catchphrase]?",lazy
"So we meet again. What can I do for you, [catchphrase]?",lazy
"Aw, are you feeling lonely! Well, what do you want to chat about, [catchphrase]?",lazy
"Calm down, [player]. I want you to speak slowly, [catchphrase]!",lazy
"Hey there! Look at us bumping into each other again, [catchphrase]. So, anyway, what's up?",lazy
"Don't worry. I've always got time for you, [player]. Well then, what can I do for you?",lazy
I've always dreamed of having a secret lair. That would seriously be one of the best things about being a superhero. The only problem is that I'd want to brag about it. But then it wouldn't be a secret anymore. Hmm. I'd better think about this a little more.,lazy
"So I was sitting in front of the tree in the plaza... And I was suddenly overcome with memories of tons of things that have happened in [Town]. That tree must have seen all kinds of stuff in its life, [catchphrase]. Next time you want to kick back, you should try sitting there!",lazy
"You know how one person's taste is another person's treasure? Well, my stuff is all treasure. So how about trading your [item 1] for my [item 2]? What do you say?",lazy
"Have you noticed how [Villager 1] and [Villager 2] are really good friends? They're like peanut butter and jelly, [catchphrase]!",lazy
"Not to be a big old gossip, but I heard that [Villager] has really ticklish feet! Uh huh huh... I'm totally going to use that to my advantage next time I want something from [them].",lazy
"So [Villager] was asking me whether girls and boys can be friends. Personally, I don't think there's any question about the answer. Of course they can! Just look at [Villager 1] and [Villager 2]! They're always hanging out and having fun together. I kinda wish I could join their little friendfest too, [catchphrase].",lazy
"The other day, [Villager 1] forgot [Villager 2]'s name for a second! But [Villager 2] said he didn't mind at all! I thought the situation was going to get really awkward, but it ended up being just fine.",lazy
"[Male Villager] and I are like brothers. Hmmm. I wonder who's the big brother... I'm definitely more put together, so it's probably me, [catchphrase].",lazy
"You're from this town, aren't you? I'm having a great time camping here!",lazy
The air in this town smells delicious! If only I could bottle it and bring it back home with me!,lazy
"It can be kind of a hassle building a campfire, but it's definitely worth it. Warming my feet around the fire is soooo sweet, [catchphrase]!",lazy
Everything tastes better when you're camping! The fresh air is like a megaphone for food. It really bumps up the flavors' volume!,lazy
"Tents are a lot more comfortable than I thought. They're so comfy, I'm napping even more than usual.",lazy
"I have to ask you something, [player]. Don't you think I smell good today?",lazy
"Umm... I don't know if I should be waking up or going to bed. Should I be snacking or snoozing right now? The Summer Solstice is kind of hard for me to wrap my head around, [catchphrase].",lazy
"It finally feels like summer now that it's the solstice! And summer means lots of different bugs! I'm gonna catch a whole mess of bugs this summer, [catchphrase]!",lazy
"It's great that it's still light out. Great in a kind of weird way, [catchphrase].",lazy
"There's no night today, so does it still make sense to call dinner ""dinner""? I think I'm gonna call it ""lunch the second""! Yeah, that sounds good!",lazy
"Yo, [player]! You soaking in the blazing sunshine, [catchphrase]?'",lazy
"This year is almost over, and it's bumming me out just the tiniest bit, [catchphrase].",lazy
STOP! STOP PUSHING ME!,lazy
"Why are you pushing me around? If it's a joke, it's not very funny...",lazy
"You can't just go around pushing people around 'cause you feel like it. It's really rude, [catchphrase].",lazy
"Why'd you hit me?! I thought we were friends, [player]!",lazy
"What the heck, [player]? That hurt, you know! Do you get your kicks being mean to people?!",lazy
"OW! Someone hit me! Wait a second... What's in your hand? Did YOU hit me, [player]? Why you do something like that? That was so mean!",lazy
AAAAAAAAAAAAAUGH! What the heck is this?!,lazy
Nooooooooooooooooooooooo! I'm stuck!,lazy
Waaaaaahhhh! Somebody help me!,lazy
Grrrr! Everyone better stay outta my way!,lazy
I'm so mad I'm about to blow my stack! Everyone better watch out!,lazy
Don't come near me. My sadness is contagious...,lazy
Ugh... Feeling down is making me hungry...,lazy
"Just leave me alone. I'm in a bad mood, and I don't feel like talking.",lazy
"When you're feeling down, you can't help looking down, [catchphrase].",lazy
Man... I feel like my last bite of [food] was snatched away from me...,lazy
"I'm flattered you want to chat so much, [player]. But I've got some important things on my mind, so let's talk later, [catchphrase].",lazy
"So if I do that, I'll have to take care of that other thing. But that other thing is a problem too... Oh, you kind of caught me in the middle of working out a problem. Talk to me later, OK?",lazy
"Sorry, but I can't talk right now. I actually need to focus on something else.",lazy
"Heya, [player]! Heh... Made ya look, [catchphrase]!",uchi
"Oh, [player]! Good to see ya, [catchphrase]!",uchi
"Yo, [player]! You get around, eh? [Catchphrase]!",uchi
"[Player]! I'm seeing you a lot today, [catchphrase]!",uchi
"...[Player]! What's the hurry, [catchphrase]?",uchi
"Whoa, [player]! Simmer down! [Catchphrase]!",uchi
"Hey! These clothes were made by [Designer] from Treehut. It's an original design! I think it's named... ""[clothing]""! It's amazing this stuff made it to a different town! It's so cool, [catchphrase]!",uchi
"If you take care of your flowers just right, sometimes you can get rare-colored flowers to bloom. It has a lot to do with where you plant 'em. Like, you can crossbreed flowers that are next to each other. When it happens, you'll be like, ""Man, I'm glad I took care of those little flowers dudes!"" [Catchphrase]!",uchi
Oh! You're not gonna beleive this! I've got something cool to show ya! Ta-da! It's from the past!,uchi
"When there aren't any big festivals coming up, you get to focus on your hobbies! It's like, uh, what's it called? Keeping your work and your play separate from each other? Course, festivals count as play too, I guess! [Catchphrase]!",uchi
"When you're looking up at the sky... sometimes balloons just come flying outta nowhere, right? What I wanna know is...who the heck is sending 'em out? But I guess it's cool for a mystery to stay a mystery sometimes! [Catchphrase]!",uchi
"[Player]! It's gonna stay out light tonight! Weird and thrilling... That's the Summer Solstice for ya! I'm getting excited, [catchphrase]!",uchi
"So the Summer Solstice isn't necessarily the hottest day of the year, right? But if the length of the day and the heat aren't always connected... where does the heat come from? Aw, man! Thinking about this tricky stuff just makes my brain even more hot! [Catchphrase]!",uchi
"Hello, dear! Look! Look! The sun's really not going anywhere! [Catchphrase]!",uchi
"Sun's up pretty high now... Is it really gonna be light out all night tonight, [catchphrase]?",uchi
"[Player]! Evening! Er...is that the right thing to say? I mean, it's light out, but according to the clock, it's nighttime! Weird, right? [Catchphrase]!",uchi
"Hello, dear! Today's gonna be super long, so you better pace yourself, [catchphrase]!",uchi
"I didn't think I'd be so excited about having it light outside so late in the evening, [catchphrase]!",uchi
"Oh! Hey, [player]! Today's the Summer Solstice! This whole sun-staying-out-all-night thing... It just doesn't sit right with a night owl like me, [catchphrase].",uchi
Man... you again? Are you just super active 'cause of the Summer Solstice? [Catchphrase]!,uchi
"Once you realize it's gonna be bright all day, all of a sudden you just want it to be dark! Ahhh! I can't wait for nighttime tomorrow! [Catchphrase]!",uchi
"I want the new year to hurry up and get here, but I'm also gonna miss the old year... Aaaah! I can't wait anymore! Hurry up, new year! [Catchphrase]!",uchi
It's already [time]?! OK! Gotta get ready! Bring on the new year! [Catchphrase]!,uchi
"Let's make next year a great one too, [player]!",uchi
You can feel all of [Town] getting psyched to celebrate the new year... I love it! It's like an electric calm before the party! [Catchphrase]!,uchi
"Oh, right! Yeah, I wanted to run something by you. So, uh...think you could bring me a pear? Lately I'm on a crazy new pear kick! I need as many as I can get, so I'm asking everyone I know for help! Ya feel me? Get me a pear!",uchi
"The other day I read this book called [Species] Storm Caller. It was sooooo cool! I wonder if I have storm-calling superpowers? Course...we don't really need bad storms in this town, [catchphrase]!",uchi
"Hey, [player]! What do you think of my clothes?",uchi
Hee hee! Really? You're gonna make me blush! [Catchphrase]!,uchi
"Hey... So this is sudden, but can you take my [item] off my hands?",uchi
"Whoa, you have your [clothing] with you, don't you? Oh, man! I'm super jealous! I can't remember the last time I even saw one of those items! Hey! I'm just gonna toss out an idea here... Wanna make a trade? Your [clothing] for my [furniture]?",uchi
"Hey! You going over to see [Villager] anytime soon? If you are, there's something I want you to give back to 'em... OK?",uchi
"I got my hands on something that [Villager] asked me for a while ago... But hasn't come to get it! If you can, would you take it over?",uchi
"Oh! By the way, a package for [Villager] got delivered to my place by mistake. I don't know what [Villager] ordered... but I bet would like to have it! Do you think you can take it over to [Villager] for me?",uchi
